feature_id,mean_S1,mean_S2,log_fc,effect_size,u_stat,p_value,q_value,significant
801,0.023420052602887154,0.0,14.515518188476562,-0.3125,4200.0,6.75254270277037e-08,0.0003160961704062564,True
1593,6.934571865713224e-05,0.033787958323955536,-8.907873153686523,0.46843749999999995,1701.0,1.1346886971685954e-11,3.7181479228820535e-07,True
5402,0.19524523615837097,0.29917454719543457,-0.6156976222991943,0.5465625000000001,1451.0,2.4164552581140697e-09,1.4396801072342152e-05,True
6519,0.020786147564649582,0.0,14.343403816223145,-0.2875000000000001,4120.0,2.701637811242108e-07,0.0008431168361788704,True
6862,0.07145863026380539,0.005037361290305853,3.8261020183563232,-0.26359375000000007,4043.5,2.3893026082077995e-05,0.043495926592085093,True
9124,0.03197017312049866,0.0,14.964484214782715,-0.30000000000000004,4160.0,1.355820984372258e-07,0.000493639355732335,True
13255,0.05173872783780098,0.0,15.658985137939453,-0.2875000000000001,4120.0,2.701637811242108e-07,0.0008431168361788704,True
17670,0.01844760961830616,0.0,14.171224594116211,-0.2250000000000001,3920.0,7.6156302384333685e-06,0.016099933655031266,True
19622,0.03314822539687157,0.08622746169567108,-1.3791890144348145,0.65296875,1110.5,9.046759652173164e-13,5.928884405648205e-08,True
21280,0.0,0.014323599636554718,-13.806207656860352,0.23750000000000004,2440.0,3.959949481213698e-06,0.008948939627614515,True
23496,0.013362760655581951,0.0,13.706038475036621,-0.2124999999999999,3880.0,1.4551384992955718e-05,0.02889816869388927,True
24708,0.007914319634437561,0.0,12.950431823730469,-0.19999999999999996,3840.0,2.7630620024865493e-05,0.04527000784873962,True
24824,0.011816916987299919,0.0,13.528688430786133,-0.25,4000.0,2.0453139768505935e-06,0.00536166787147522,True
25611,0.01908830739557743,0.0,14.220477104187012,-0.25,4000.0,2.0453139768505935e-06,0.00536166787147522,True
27821,0.0,0.037065573036670685,-15.177830696105957,0.30000000000000004,2240.0,1.355820984372258e-07,0.000493639355732335,True
28138,0.024331120774149895,0.000570021104067564,5.413174152374268,-0.35187499999999994,4326.0,1.0951260520641881e-07,0.0004784678729871909,True
28907,0.0005202169413678348,0.011040935292840004,-4.404965400695801,0.24124999999999996,2428.0,1.593667002453003e-05,0.03071840019787059,True
29214,0.01886986568570137,0.0,14.203872680664062,-0.23750000000000004,3960.0,3.959949481213698e-06,0.008948939627614515,True
30094,0.20184917747974396,0.0,17.6229248046875,-0.42500000000000004,4560.0,8.807266721477802e-11,1.1543860637175384e-06,True
30789,0.04853452369570732,0.23745402693748474,-2.290541410446167,0.5428124999999999,1463.0,5.533371538746223e-10,4.029278190703028e-06,True
31321,0.0313536636531353,0.0,14.936392784118652,-0.19999999999999996,3840.0,2.7630620024865493e-05,0.04527000784873962,True
31456,0.0002248304954264313,0.016056928783655167,-6.151901721954346,0.21499999999999997,2512.0,2.96523685392458e-05,0.04739750303873202,True
34045,0.0516776368021965,0.0,15.657279968261719,-0.4375,4600.0,4.030876674110395e-11,8.805584457149962e-07,True
36179,0.015185767784714699,0.0,13.89052677154541,-0.23750000000000004,3960.0,3.959949481213698e-06,0.008948939627614515,True
36984,0.004160093609243631,0.08238726109266281,-4.307404041290283,0.3578125,2055.0,1.241931357753856e-07,0.000493639355732335,True
37305,0.0018837375100702047,0.1525590568780899,-6.338870048522949,0.423125,1846.0,4.033492428945351e-10,3.3522087505843956e-06,True
38825,0.006303917616605759,0.03800869733095169,-2.59181809425354,0.31437499999999996,2194.0,1.0972345080517698e-05,0.022471362724900246,True
38973,0.05594850331544876,0.005460971500724554,3.3566317558288574,-0.33062499999999995,4258.0,1.6633604218441178e-06,0.004739564721998961,True
39019,0.13545365631580353,0.024502012878656387,2.4667787551879883,-0.5475000000000001,4952.0,6.819082798426024e-11,1.1172385256941197e-06,True
39783,0.013723122887313366,0.0,13.744426727294922,-0.2250000000000001,3920.0,7.6156302384333685e-06,0.016099933655031266,True
40051,0.003065911354497075,0.05994464084506035,-4.288796424865723,0.35906249999999995,2051.0,1.3361985296000967e-08,7.297425569655995e-05,True
44578,0.0746346116065979,0.0007624707068316638,6.611147403717041,-0.28218750000000004,4103.0,1.6275411098831682e-06,0.004739564721998961,True
44964,0.0025882013142108917,0.04380885884165764,-4.080676555633545,0.33140625,2139.5,2.240395531316608e-07,0.000772771376528238,True
45268,0.07249511033296585,0.0010554241016507149,6.100642681121826,-0.39093749999999994,4451.0,1.5835142086473297e-09,1.037771871779114e-05,True
45471,0.010556770488619804,0.0,13.36601734161377,-0.19999999999999996,3840.0,2.7630620024865493e-05,0.04527000784873962,True
46955,0.0,0.008310536853969097,-13.020899772644043,0.19999999999999996,2560.0,2.7630620024865493e-05,0.04527000784873962,True
49246,0.0023536025546491146,0.026699986308813095,-3.5033376216888428,0.23781249999999998,2439.0,2.1017356630181894e-05,0.03935409954616002,True
51172,0.04712658375501633,0.0,15.524284362792969,-0.3999999999999999,4480.0,4.0920516974907173e-10,3.3522087505843956e-06,True
57338,0.10036883503198624,0.0,16.614965438842773,-0.3999999999999999,4480.0,4.0920516974907173e-10,3.3522087505843956e-06,True
58280,0.0012208586558699608,0.028320511803030968,-4.5347490310668945,0.26249999999999996,2360.0,2.6572106435196474e-06,0.00669780602821937,True
61895,0.0009685457916930318,0.06305383890867233,-6.023154258728027,0.35296875000000005,2070.5,1.5278555309805597e-08,7.702272313718613e-05,True
